2step;ProximalPhalanxOutlineCorrect;0.0050;110.315;0.684;12.588;874.980;0.040
2step;ProximalPhalanxOutlineCorrect;0.0050;110.315;0.684;12.588;862.550;0.040
2step;ProximalPhalanxOutlineCorrect;0.0100;103.640;0.684;4.000;801.930;0.020
2step;ProximalPhalanxOutlineCorrect;0.0100;103.640;0.684;4.000;853.870;0.020
2step;RefrigerationDevices;0.0005;269.959;0.320;79.784;36311.460;1.070
2step;RefrigerationDevices;0.0005;269.250;0.325;86.664;37155.270;1.590
2step;RefrigerationDevices;0.0010;263.644;0.339;41.717;38803.100;0.630
2step;RefrigerationDevices;0.0010;257.776;0.352;39.403;41062.950;0.600
2step;RefrigerationDevices;0.0050;235.920;0.392;4.224;42928.450;0.030
2step;RefrigerationDevices;0.0100;243.000;0.392;4.000;37963.530;0.030
2step;RefrigerationDevices;0.0100;267.000;0.328;4.000;70658.790;0.040
2step;ScreenType;0.0005;246.476;0.365;45.205;87052.780;5.140
2step;ScreenType;0.0010;265.597;0.333;41.592;93575.830;0.720
2step;ScreenType;0.0050;260.500;0.325;4.000;45790.160;0.020
2step;ScreenType;0.0100;268.000;0.325;4.000;37375.370;0.020
2step;ShapeletSim;0.0005;99.176;0.533;168.622;163.310;0.440
2step;ShapeletSim;0.0005;96.339;0.511;92.650;165.410;0.450
2step;ShapeletSim;0.0010;96.415;0.506;41.194;165.620;0.520
2step;ShapeletSim;0.0010;95.944;0.494;27.467;167.020;0.120
2step;ShapeletSim;0.0050;103.220;0.511;16.911;169.100;0.030
2step;ShapeletSim;0.0050;106.825;0.467;12.028;169.210;0.030
2step;ShapeletSim;0.0100;107.330;0.494;9.072;168.200;0.020
2step;ShapeletSim;0.0100;108.140;0.478;7.856;168.890;0.020
2step;SonyAIBORobotSurfaceII;0.0005;237.139;0.759;14.982;17.540;0.100
2step;SonyAIBORobotSurfaceII;0.0005;188.056;0.813;21.104;17.620;0.150
2step;SonyAIBORobotSurfaceII;0.0010;227.254;0.778;16.006;17.560;0.090
